sep=	
card	en	fr	de	nl	es
baseset2_harbinger	Harbinger	Présage	Vorbotin	Voorbode	Emisario
baseset2_merchant	Merchant	Marchand	Händlerin	Koopman	Tendera
baseset2_vassal	Vassal	Vassal	Vasall	Vazal	Vasallo
baseset2_poacher	Poacher	Braconnier	Wilddiebin	Wilddief	Cazadora
baseset2_bandit	Bandit	Brigand	Banditin	Bandiet	Bandida
baseset2_sentry	Sentry	Sentinelle	Torwächterin	Cipier	Protectora
baseset2_artisan	Artisan	Artisan	Töpferei	Ambachtsman	Artesana
baseset_adventurer	Adventurer	Aventurier	Abenteurer	Avonturier	Aventurero
baseset_bureaucrat	Bureaucrat	Bureaucrate	Bürokrat	Bureaucraat	Burócrata
baseset_cellar	Cellar	Cave	Keller	Kelder	Sótano
baseset_chancellor	Chancellor	Chancelier	Kanzler	Raadsheer	Canciller
baseset_chapel	Chapel	Chapelle	Kapelle	Kapel	Capilla
baseset_councilroom	Council Room	Chambre du conseil	Ratsversammlung	Raadszaal	Sala del Consejo
baseset_feast	Feast	Festin	Festmahl	Feest	Banquete
baseset_festival	Festival	Festival	Jahrmarkt	Festival	Festival
baseset_gardens	Gardens	Jardins	Gärten	Tuinen	Jardines
baseset_laboratory	Laboratory	Laboratoire	Laboratorium	Laboratorium	Laboratorio
baseset_library	Library	Bibliothèque	Bibliothek	Bibliotheek	Biblioteca
baseset_market	Market	Marché	Markt	Markt	Mercado
baseset_militia	Militia	Milice	Miliz	Militie	Milicia
baseset_mine	Mine	Mine	Mine	Mijn	Mina
baseset_moat	Moat	Douves	Burggraben	Slotgracht	Foso
baseset_moneylender	Moneylender	Prêteur sur gages	Geldverleiher	Geldschieter	Prestamista
baseset_remodel	Remodel	Rénovation	Umbau	Verbouwing	Remodelar
baseset_smithy	Smithy	Forgeron	Schmiede	Smidse	Herrería
baseset_spy	Spy	Espion	Spion	Spion	Espía
baseset_thief	Thief	Voleur	Dieb	Dief	Ladrón
baseset_throneroom	Throne Room	Salle du trône	Thronsaal	Troonzaal	Salón del Trono
baseset_village	Village	Village	Dorf	Dorp	Aldea
baseset_witch	Witch	Sorcière	Hexe	Heks	Bruja
baseset_woodcutter	Woodcutter	Bûcheron	Holzfäller	Houthakker	Leñadores
baseset_workshop	Workshop	Atelier	Werkstatt	Werkplaats	Taller
