sep=	
card	en	fr	de	nl	es
renaissance_borderguard	Border Guard	Garde-frontière	Grenzposten	Grenswacht	Guarda Fronterizo
renaissance_ducat	Ducat	Ducat	Goldmünze	Dukaat	Florín
renaissance_lackeys	Lackeys	Laquais	Diener	Kamerbedienden	Lacayos
renaissance_actingtroupe	Acting Troupe	Troupe de théâtre	Schauspieltruppe	Toneelgezelschap	Compañía de Teatro
renaissance_cargoship	Cargo Ship	Cargo	Frachtschiff	Vrachtschip	Buque de Carga
renaissance_experiment	Experiment	Expérience	Experiment	Experiment	Experimento
renaissance_improve	Improve	Amélioration	Fortschritt	Verbetering	Perfeccionar
renaissance_flagbearer	Flag Bearer	Porte-drapeau	Fahnenträger	Vaandeldrager	Abanderado
renaissance_hideout	Hideout	Planque	Versteck	Schuilplaats	Guarida
renaissance_inventor	Inventor	Inventeur	Erfinder	Uitvinder	Inventor
renaissance_mountainvillage	Mountain Village	Village de montagne	Bergdorf	Bergdorp	Aldea de Montaña
renaissance_patron	Patron	Mécène	Patron	Beschermheer	Mecenas
renaissance_priest	Priest	Prêtre	Priester	Priester	Sacerdote
renaissance_research	Research	Recherche	Forscherin	Onderzoek	Investigación
renaissance_silkmerchant	Silk Merchant	Marchande de soie	Seidenhändlerin	Zijdekoopman	Vendedor de Seda
renaissance_oldwitch	Old Witch	Vieille sorcière	Alte Hexe	Oude heks	Bruja Anciana
renaissance_recruiter	Recruiter	Recruteur	Anwerber	Ronselaar	Reclutador
renaissance_scepter	Scepter	Sceptre	Zepter	Scepter	Cetro
renaissance_scholar	Scholar	Érudite	Gelehrte	Geleerde	Erudita
renaissance_sculptor	Sculptor	Sculptrice	Bildhauerin	Beeldhouwer	Escultora
renaissance_seer	Seer	Prophète	Seher	Ziener	Profeta
renaissance_spices	Spices	Épices	Gewürze	Specerijen	Especias
renaissance_swashbuckler	Swashbuckler	Bretteuse	Freibeuterin	Ijzervreter	Espadachina
renaissance_treasurer	Treasurer	Trésorière	Schatzmeisterin	Schatbewaarder	Tesorera
renaissance_villain	Villain	Scélérat	Schwarzer Meister	Slechterik	Villano
renaissance_project_cathedral	Cathedral	Cathédrale	Kathedrale	Kathedraal	Catedral
renaissance_project_citygate	City Gate	Porte	Stadttor	Stadspoort	Portón
renaissance_project_pageant	Pageant	Spectacle	Festzug	Spektakel	Espectáculo
renaissance_project_sewers	Sewers	Égouts	Abwasserkanal	Riolen	Alcantarillas
renaissance_project_starchart	Star Chart	Carte céleste	Sternenkarte	Sterrenkaart	Carta Estelar
renaissance_project_exploration	Exploration	Exploration	Erkundung	Ontdekkingsreis	Exploración
renaissance_project_fair	Fair	Foire	Kleiner Markt	Braderie	Feria
renaissance_project_silos	Silos	Silos	Speicher	Silo's	Silos
renaissance_project_sinisterplot	Sinister Plot	Machination	Finsterer Plan	Duistere samenzwering	Confabulación
renaissance_project_academy	Academy	Académie	Akademie	Academie	Academia
renaissance_project_capitalism	Capitalism	Capitalisme	Kapitalismus	Kapitalisme	Capitalismo
renaissance_project_fleet	Fleet	Flotte	Flotte	Vloot	Flota
renaissance_project_guildhall	Guildhall	Hôtel de ville	Gildenhaus	Gildehuis	Ayuntamiento
renaissance_project_piazza	Piazza	Piazza	Piazza	Plein	Pórtico
renaissance_project_roadnetwork	Road Network	Réseau routier	Strassennetz	Wegennet	Red de Caminos
renaissance_project_barracks	Barracks	Caserne	Kaserne	Kazerne	Cuartel
renaissance_project_croprotation	Crop Rotation	Assolement	Fruchtwechsel	Wisselbouw	Barbecho
renaissance_project_innovation	Innovation	Innovation	Innovation	Vernieuwing	Innovación
renaissance_project_canal	Canal	Canal	Kanal	Kanaal	Canal
renaissance_project_citadel	Citadel	Citadelle	Zitdelle	Burcht	Ciudadela
renaissance_flag	Flag	Drapeau			
renaissance_horn	Horn	Corne			
renaissance_key	Key	Clé			
renaissance_lantern	Lantern	Lanterne			
renaissance_treasurechest	Treasure Chest	Coffre			
  
  





